function,count,library
"numpy.testing._private.utils.assert_array_equal(x=list, y=list)",2,matplotlib
"numpy.testing._private.utils.assert_array_equal(x=list[numpy.ndarray], y=list[list[list[int]]])",2,matplotlib
"numpy.array(list[int], dtype=Type[numpy.uint8])",2,matplotlib
int * numpy.uint64,2,dask.array
numpy.linalg.LinAlgError,2,matplotlib
"numpy.allclose(a=numpy.ndarray, b=numpy.float64)",2,matplotlib
numpy.uint32 in dict,2,dask.array
int * numpy.uint32,2,dask.array
numpy.int32 in dict,2,dask.array
numpy.int64 in dict,2,dask.array
int * numpy.int32,2,dask.array
"numpy.array(list[int], Type[numpy.float64])",2,matplotlib
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], list[int]]]",2,matplotlib
"numpy.bincount(numpy.ndarray, minlength=int)",2,skimage
numpy.ndarray.tolist,2,matplotlib
numpy.lib.stride_tricks.DummyArray.base,2,matplotlib
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.ndarray, desired=float)",2,matplotlib
numpy.asarray(a=pandas.core.series.Series),2,xarray
"numpy.random.mtrand.RandomState.uniform(numpy.random.mtrand.RandomState, float, int)",2,skimage
numpy.diag(v=dask.array.core.Array),2,dask.array
"numpy.ndarray[tuple[numpy.ndarray, numpy.ndarray]] = builtins.bool",2,skimage
"numpy.eye(N=int, dtype=Type[builtins.int])",2,dask.array
"numpy.isnan(list[Union[float, int]])",2,matplotlib
"numpy.tensordot(a=numpy.ndarray, axes=tuple[tuple[int, int], tuple[int, int]], b=numpy.ndarray)",2,dask.array
"numpy.amax(a=numpy.ma.core.MaskedArray, axis=tuple[int], keepdims=builtins.bool)",2,dask.array
numpy.complex128.real,2,matplotlib
numpy.testing.assert_array_almost_equal,2,matplotlib
"numpy.lituple[slice[int, int, builtins.complex], slice[int, int, builtins.complex]].index_tricks.MGridClass[tuple[slice[int, int, builtins.complex], slice[int, int, builtins.complex]]]",2,matplotlib
numpy.ndarray.argmax(numpy.ndarray),2,matplotlib
"numpy.isclose(a=numpy.float64, b=numpy.float64)",2,matplotlib
"numpy.round_(a=numpy.ma.core.MaskedArray, decimals=int)",2,dask.array
numpy.ndarray | numpy.ndarray,2,xarray
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.float64, desired=numpy.float64)",2,matplotlib
"numpy.ndarray[sliinte[int, NoneType, NoneType]] = int",2,matplotlib
"numpy.resize(a=numpy.ndarray, new_shape=int)",2,matplotlib
"numpy.array(list[list[list[int]]], dtype=Type[numpy.uint8])",2,skimage
"numpy.ndarray[tuple[slice[NoneType, NoneType, int], slice[NoneType, NoneType, int]]]",2,matplotlib
"numpy.array(list[int], copy=numpy.dtype, dtype=builtins.bool)",2,pandas
numpy.fft.rfftn(a=numpy.ndarray),2,dask.array
"numpy.maximum(numpy.ndarray, numpy.ndarray)",2,skimage
"numpy.all(a=numpy.ndarray, axis=tuple[int, int], keepdims=builtins.bool)",2,dask.array
"numpy.all(a=numpy.ndarray, axis=tuple[int], keepdims=builtins.bool)",2,dask.array
numpy.ma.core.MaskedArray.fill_value,2,dask.array
"numpy.minimum(numpy.ndarray, numpy.ndarray)",2,skimage
numpy.ndarray += int,2,dask.array
"numpy.ma.core.MaskedArray[tuple[slice[int, int, NoneType]]]",2,dask.array
"numpy.ndarray[tuple[numpy.ndarray, numpy.ndarray, int]] = int",2,skimage
numpy.float64 %= float,2,skimage
numpy.ma.core.MaskedArray in dict,2,dask.array
numpy.ndarray ** numpy.ndarray,2,skimage
int * numpy.ma.core.MaskedArray,2,matplotlib
"numpy.ma.numpy.ma.core.MaskedArrayore.MaskedArray[tuple[builtins.ellipsis, int]] = numpy.ma.core.MaskedArray",2,matplotlib
numpy.uint8.ndim,2,dask.array
"numpy.clip(a=numpy.ma.core.MaskedArray, a_max=int, a_min=int)",2,matplotlib
"numpy.rollaxis(a=numpy.ndarray, axis=int, start=int)",2,skimage
numpy.diff,2,dask.array
"numpy.fft.fft(a=numpy.ndarray, axis=int)",2,dask.array
numpy.ma.core.array(data=numpy.ndarray),2,matplotlib
numpy.ceil(numpy.ndarray),2,skimage
numpy.ma.core.MaskedArray.mask,2,dask.array
numpy.longdouble,2,matplotlib
~numpy.ma.core.MaskedArray,2,matplotlib
numpy.sign(numpy.ma.core.MaskedArray),2,matplotlib
numpy.ma.core.MaskedArray - float,2,matplotlib
numpy.ma.numpy.ma.core.MaskedArrayore.MaskedArray[numpy.ma.numpy.ma.core.MaskedArrayore.MaskedArray] = numpy.ma.core.MaskedArray,2,matplotlib
"numpy.linalg.norm(axis=tuple[int, int], keepdims=int, ord=builtins.bool, x=numpy.ndarray)",2,dask.array
numpy.float64 // int,2,matplotlib
numpy.random.mtrand.RandomState(NoneType),2,skimage
numpy.ma.core.MaskedArray / float,2,matplotlib
"numpy.linalg.norm(axis=tuple[int], keepdims=float, ord=builtins.bool, x=numpy.ndarray)",2,dask.array
"numpy.linalg.norm(axis=NoneType, keepdims=float, ord=builtins.bool, x=numpy.ndarray)",2,dask.array
"numpy.percentile(a=numpy.ndarray, q=float)",2,skimage
"numpy.amax(a=numpy.ndarray, axis=tuple[int, int], keepdims=builtins.bool)",2,dask.array
"numpy.arange(numpy.float64, numpy.float64, int)",2,matplotlib
"numpy.linalg.norm(axis=tuple[int], keepdims=int, ord=builtins.bool, x=numpy.ndarray)",2,dask.array
"numpy.ndarray[int] = tuple[numpy.float64, numpy.float64, numpy.float64, numpy.float64]",2,matplotlib
"numpy.array(tuple[tuple[int, int], tuple[int, int], tuple[int, int], tuple[int, int], tuple[int, int]])",2,skimage
"numpy.linalg.norm(axis=int, keepdims=NoneType, ord=builtins.bool, x=numpy.ndarray)",2,dask.array
"numpy.array(numpy.ndarray, copy=int, dtype=numpy.dtype, ndmin=builtins.bool)",2,matplotlib
numpy.int64 == numpy.int32,2,dask.array
numpy.ndarray[list[int]] = int,2,skimage
"numpy.median(a=numpy.ndarray, axis=int)",2,dask.array
numpy.float64 % float,2,skimage
"numpy.ones(dtype=numpy.dtype, shape=tuple[int, int, int])",2,dask.array
"numpy.concatenate(list[Union[list, list[Union[numpy.float64, numpy.int64]]]])",2,matplotlib
"numpy.testing._private.utils.assert_array_equal(x=numpy.ma.core.MaskedArray, y=numpy.ma.core.MaskedArray)",2,matplotlib
builtins.str.lower(self=numpy.str_),2,matplotlib
"numpy.array(list[datetime.datetime], dtype=str)",2,matplotlib
"numpy.minimum(tuple[int, int], numpy.ndarray)",2,skimage
float > numpy.float64,2,matplotlib
numpy.arange(numpy.float64),2,matplotlib
"numpy.ndarray.astype(numpy.ndarray, Type[numpy.str_])",2,xarray
numpy.float64(x=int),2,matplotlib
"numpy.ma.core.masked_equal(value=int, x=numpy.ndarray)",2,dask.array
numpy.amin(a=list[numpy.int64]),2,skimage
numpy.amax(a=list[numpy.int64]),2,skimage
numpy.asarray(a=builtins.bytes),2,xarray
"numpy.fft.irfft(a=numpy.ndarray, axis=int, n=int)",2,dask.array
"numpy.generic.astype(numpy.uint16, Type[numpy.float32])",2,matplotlib
"numpy.lituple[float, float, float].index_tricks.RClass[tuple[float, float, float]]",2,skimage
"numpy.fft.ifft(a=numpy.ndarray, axis=int, n=int)",2,dask.array
"numpy.testing._private.utils.assert_allclose(actual=float, atol=float, desired=float)",2,skimage
"numpy.array(list[Union[int, numpy.float64]])",2,matplotlib
"numpy.resize(a=numpy.ndarray, new_shape=tuple[int, int])",2,matplotlib
"numpy.maximum(numpy.float64, int)",2,skimage
"numpy.zeros(int, dtype=Type[builtins.bool])",2,matplotlib
"numpy.transpose(a=numpy.ndarray, axes=tuple[int, int, int])",2,dask.array
"numpy.ndarray.astype(numpy.ndarray, Type[builtins.int])",2,dask.array
numpy.ndarray.item(numpy.ma.core.MaskedArray),2,matplotlib
"numpy.transpose(a=numpy.ndarray, axes=tuple[int])",2,dask.array
"numpy.ndarray.astype(numpy.ma.core.MaskedArray, Type[numpy.float64])",2,matplotlib
"numpy.transpose(a=numpy.ndarray, axes=tuple[int, int, int, int])",2,dask.array
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.float64, decimal=int, desired=numpy.float64)",2,skimage
"numpy.ndarray[slice[numpy.int8, numpy.int64, NoneType]]",2,matplotlib
"numpy.testing._private.utils.assert_array_almost_equal(x=numpy.ndarray, y=numpy.ma.core.MaskedArray)",2,matplotlib
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, int, NoneType]]]",2,matplotlib
numpy.sum(a=list[float]),2,matplotlib
numpy.amax(a=list[int]),2,skimage
numpy.asarray(a=list[numpy.int64]),2,skimage
"numpy.testing._private.utils.assert_equal(actual=tuple[list[tuple[str]], tuple], desired=tuple[list[tuple[str]], tuple])",2,dask.array
numpy.argmin(a=numpy.ndarray),2,matplotlib
numpy.fft.ifftn(a=numpy.ndarray),2,dask.array
numpy.fft.ifft2(a=numpy.ndarray),2,dask.array
builtins.function.__doc__,2,dask.array
numpy.dtype(Type[numpy.float64]),2,xarray
"numpy.testing._private.utils.assert_equal(actual=tuple[slice[numpy.int64, NoneType, numpy.int64], slice[numpy.int64, NoneType, numpy.int64]], desired=list[slice[float, NoneType, float]])",2,skimage
"numpy.stack(arrays=tuple[numpy.ndarray, numpy.ndarray], axis=int)",2,matplotlib
numpy.ndarray * builtins.complex,2,matplotlib
numpy.nancumprod(a=numpy.ndarray),2,dask.array
numpy.nancumsum(a=numpy.ndarray),2,dask.array
"numpy.sum(a=numpy.ma.core.MaskedArray, axis=builtins.bool, keepdims=int)",2,dask.array
"numpy.ndarray.reshape(numpy.ndarray, tuple[int])",2,skimage
"numpy.testing._private.utils.assert_equal(actual=numpy.uint16, desired=int)",2,skimage
numpy.shape,2,matplotlib
"numpy.timedelta64(int, str)",2,dask.array
"numpy.multiply(numpy.ndarray, float, dtype=Type[numpy.float32])",2,skimage
"numpy.interp(fp=numpy.ndarray, x=numpy.ndarray, xp=numpy.ndarray)",2,skimage
int == numpy.int64,2,matplotlib
numpy.signedinteger,2,pandas
"numpy.prod(a=numpy.ma.core.MaskedArray, axis=builtins.bool, keepdims=int)",2,dask.array
"numpy.testing._private.utils.assert_equal(actual=numpy.int16, desired=int)",2,skimage
"numpy.full(dtype=int, fill_value=Type[numpy.uint8], shape=tuple[int, int])",2,skimage
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], NoneType, NoneType]]",2,dask.array
"numpy.ndarray[tuple[NoneType, slice[NoneType, NoneType, NoneType], slice[NoneType, NoneType, NoneType], NoneType]]",2,dask.array
numpy.unsignedinteger,2,pandas
"numpy.ndarray.view(numpy.ndarray, numpy.dtype)",2,dask.array
numpy.ascontiguousarray(a=numpy.ndarray),2,dask.array
"numpy.testing._private.utils.assert_equal(actual=numpy.uint32, desired=int)",2,skimage
numpy.uint8(numpy.ndarray),2,skimage
"numpy.testing._private.utils.assert_array_equal(x=numpy.ndarray, y=list[numpy.float64])",2,matplotlib
numpy.transpose(a=numpy.ndarray),2,skimage
"numpy.ndarray[tuple[builtins.ellipsis, int]]",2,dask.array
"numpy.ndarray[tuple[slilist[float]e[int, int, NoneType], int]] = list[float]",2,matplotlib
"numpy.ndarray[tuple[slice[int, int, NoneType], int]]",2,matplotlib
"numpy.hypot(numpy.float64, numpy.float64)",2,skimage
numpy.iterable(y=matplotlib.tests.test_units.Quantity),2,matplotlib
numpy.ufunc in dict,2,dask.array
str % numpy.float64,2,dask.array
"numpy.iterable(y=tuple[int, float, int, float])",2,matplotlib
"numpy.iterable(y=tuple[float, int, float, int])",2,matplotlib
numpy.log2(numpy.ndarray),2,skimage
"numpy.issubdtype(arg1=Type[numpy.uint16], arg2=Type[numpy.floating])",2,skimage
numpy.AxisError(axis=str),2,dask.array
"numpy.ndarray[int] = tuple[float, int]",2,matplotlib
"numpy.ndarray[int] = tuple[int, int]",2,matplotlib
"numpy.ndarray.cumprod(numpy.ndarray, axis=int)",2,dask.array
numpy.ones(shape=list[int]),2,skimage
"numpy.array(list[int], dtype=Type[numpy.float32])",2,skimage
"numpy.ndarray.cumsum(numpy.ndarray, axis=int)",2,dask.array
"numpy.ndarray[tuple[slituple[list]e[int, NoneType, NoneType], slituple[list]e[int, NoneType, int]]] = tuple[list]",2,matplotlib
numpy.ma.MaskedArray,2,pandas
"numpy.ma.core.MaskedArray.sum(axis=tuple[int, int], keepdims=builtins.bool)",2,dask.array
"numpy.ndarray[tuple[int, builtins.ellipsis]]",2,skimage
"numpy.empty(tuple[int, int])",2,dask.array
numpy.ndarray &= numpy.ndarray,2,skimage
"numpy.zeros(tuple[int, int, int, int, int, int, int], dtype=Type[numpy.float64])",2,skimage
"numpy.ndarray.put(numpy.ndarray, numpy.ndarray, numpy.ndarray)",2,pandas
"numpy.ndarray[tuple[int, int, int, int, int, int]] = int",2,skimage
"numpy.zeros(tuple[int, int, int, int, int], dtype=Type[numpy.float64])",2,skimage
"numpy.ma.core.MaskedArray.sum(axis=tuple[int], keepdims=builtins.bool)",2,dask.array
numpy.float64 != numpy.float64,2,dask.array
"numpy.random.mtrand.RandomState.random(numpy.random.mtrand.RandomState, tuple[int, int, int, int, int])",2,dask.array
numpy.log(numpy.ndarray),2,skimage
numpy.prod(a=list[numpy.float64]),2,dask.array
"numpy.lituple[float, int, int].index_tricks.RClass[tuple[float, int, int]]",2,skimage
numpy.isnan(numpy.float64),2,dask.array
numpy.atleast_1d(arys=tuple[float]),2,skimage
"numpy.full(dtype=Type[builtins.float], fill_value=float, shape=int)",2,skimage
"numpy.ndarray.view(numpy.ndarray, Type[numpy.ndarray])",2,pandas
"numpy.random.mtrand.RandomState.randn(numpy.random.mtrand.RandomState, int, int, int)",2,dask.array
"numpy.mean(a=numpy.ma.core.MaskedArray, axis=builtins.bool, keepdims=int)",2,dask.array
"numpy.zeros_like(a=numpy.ndarray, dtype=Type[builtins.bool])",2,skimage
numpy.asarray(a=list[str]),2,matplotlib
"numpy.ndarray[slilist[Union[float, str]]e[NoneType, NoneType, NoneType]] = list[Union[float, str]]",2,pandas
"numpy.mean(a=numpy.ma.core.MaskedArray, axis=int)",2,dask.array
numpy.load,2,dask.array
"numpy.maximum(numpy.ndarray, int)",2,skimage
"numpy.arange(int, int, int)",2,dask.array
"numpy.array(numpy.ndarray, copy=Type[numpy.object_], dtype=builtins.bool)",2,pandas
numpy.ndarray[tuple[list[int]]],2,dask.array
numpy.exp(int),2,skimage
"numpy.array(numpy.ndarray, copy=str, dtype=builtins.bool)",2,pandas
"numpy.ndarray[tuple[list[int], slice[NoneType, NoneType, NoneType]]]",2,dask.array
numpy.flatnonzero(a=numpy.ndarray),2,dask.array
"numpy.ndarray[tuple[list[int], slice[NoneType, NoneType, NoneType], list[int], list[int]]]",2,dask.array
"numpy.ndarray[tuple[slifloate[int, int, NoneType], slifloate[int, int, NoneType], slifloate[NoneType, NoneType, NoneType]]] = float",2,skimage
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], list[int], slice[NoneType, NoneType, NoneType], list[int]]]",2,dask.array
"numpy.empty(tuple[int], dtype=Type[builtins.bool])",2,pandas
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, NoneType, NoneType], list[int], list[int]]]",2,dask.array
"numpy.ndarray[tuple[list[int], list[int], list[int], list[int]]]",2,dask.array
"numpy.ndarray[tuple[list[int], list[int], slice[NoneType, NoneType, NoneType], slice[NoneType, NoneType, NoneType]]]",2,dask.array
"numpy.empty(tuple[int, int, int], dtype=numpy.dtype)",2,dask.array
"numpy.ndarray[tuple[list[int], slice[NoneType, NoneType, NoneType], list[int], slice[NoneType, NoneType, NoneType]]]",2,dask.array
"numpy.generic.astype(numpy.float64, numpy.dtype)",2,dask.array
numpy.isfortran(a=numpy.ndarray),2,matplotlib
"numpy.ma.core.masked_greater(value=int, x=numpy.ndarray)",2,dask.array
numpy.ndarray + numpy.int64,2,matplotlib
Type[numpy.int32] in dict,2,dask.array
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], int, int]]",2,dask.array
"numpy.ndarray[tuple[NoneType, builtins.ellipsis]]",2,dask.array
numpy.int64 // int,2,matplotlib
"numpy.array(list[float], dtype=Type[numpy.float64])",2,skimage
numpy.isscalar(element=numpy.dtype),2,dask.array
"numpy.testing._private.utils.assert_array_equal(x=numpy.ndarray, y=float)",2,matplotlib
numpy.sort,2,dask.array
numpy.ndarray >= numpy.int64,2,matplotlib
numpy.linalg.qr,2,dask.array
"numpy.ma.core.masked_inside(v1=int, v2=int, x=numpy.ndarray)",2,dask.array
"numpy.round_(a=numpy.ndarray, decimals=int)",2,dask.array
numpy.round_(a=dask.array.core.Array),2,dask.array
int -= numpy.float64,2,matplotlib
"numpy.testing._private.utils.assert_almost_equal(actual=list[float], desired=numpy.ndarray)",2,matplotlib
"numpy.ma.core.masked_outside(v1=int, v2=int, x=numpy.ndarray)",2,dask.array
"numpy.array(list[list[float]], dtype=Type[numpy.float64])",2,matplotlib
"numpy.pad(array=numpy.ndarray, mode=str, pad_width=list[list[int]])",2,skimage
numpy.vstack,2,dask.array
"numpy.ndarray.reshape(numpy.ndarray, int, int, int, int)",2,dask.array
numpy.ndarray //= int,2,skimage
"numpy.ndarray[slifloate[NoneType, NoneType, NoneType]] = float",2,matplotlib
numpy.float64 in dict,2,dask.array
int * numpy.float32,2,dask.array
"numpy.generic.astype(numpy.float32, numpy.dtype)",2,matplotlib
numpy.ndarray.imag,2,matplotlib
numpy.array(matplotlib.transforms.Bbox),2,matplotlib
"numpy.testing._private.utils.assert_equal(actual=tuple[int], desired=tuple[int])",2,skimage
numpy.dtype != Type[builtins.float],2,dask.array
"numpy.testing._private.utils.assert_allclose(actual=numpy.ma.core.MaskedArray, desired=numpy.ma.core.MaskedArray)",2,matplotlib
numpy.round_(a=numpy.float64),2,matplotlib
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[NoneType, NoneType, NoneType], NoneType, slice[NoneType, NoneType, NoneType]]]",2,dask.array
"numpy.asarray(a=tuple[int, int])",2,dask.array
numpy.random.uniform,2,matplotlib
numpy.asarray(a=dask.array.core.Array),2,dask.array
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.float16, decimal=int, desired=float)",2,skimage
"numpy.generic.astype(numpy.uint8, Type[numpy.int64])",2,skimage
numpy.ndarray += numpy.float64,2,matplotlib
numpy.array(list[list[list[int]]]),2,dask.array
"numpy.random.mtrand.RandomState.poisson(numpy.random.mtrand.RandomState, numpy.ndarray)",2,skimage
numpy.int32 == int,2,matplotlib
"numpy.flip(axis=int, m=dask.array.core.Array)",2,dask.array
int - numpy.int64,2,xarray
"numpy.array(tuple[int, int, int, int])",2,dask.array
"numpy.ma.core.fix_invalid(a=numpy.ma.core.MaskedArray, fill_value=int)",2,dask.array
numpy.ma.core.MaskedArray - numpy.ma.core.MaskedArray,2,matplotlib
"numpy.arange(int, int, dtype=Type[numpy.int32])",2,matplotlib
numpy.matrix.all,2,dask.array
"numpy.testing._private.utils.assert_array_almost_equal(decimal=int, x=tuple[numpy.float64, numpy.float64, numpy.float64, numpy.float64], y=tuple[int, int, int, int])",2,matplotlib
"numpy.ma.core.filled(a=numpy.ndarray, fill_value=NoneType)",2,dask.array
numpy.ndarray[numpy.int32],2,matplotlib
"numpy.ones(dtype=Type[numpy.int32], shape=int)",2,matplotlib
"numpy.ma.testutils.assert_array_almost_equal(x=numpy.ma.core.MaskedArray, y=numpy.ma.core.MaskedArray)",2,matplotlib
"numpy.empty(dtype=tuple[int], shape=numpy.dtype)",2,dask.array
"numpy.ma.core.filled(a=numpy.ma.core.MaskedArray, fill_value=NoneType)",2,dask.array
"numpy.empty(list[int], dtype=Type[numpy.int32])",2,matplotlib
"numpy.insert(arr=numpy.ndarray, axis=int, obj=int, values=float)",2,matplotlib
numpy.asanyarray(a=list),2,dask.array
numpy.insert,2,matplotlib
"numpy.array(list[builtins.bool], dtype=Type[builtins.bool])",2,matplotlib
"numpy.empty(tuple[int, int, int], numpy.dtype)",2,skimage
"numpy.ndarray.sum(numpy.ndarray, axis=builtins.bool, keepdims=int)",2,dask.array
int / numpy.int64,2,skimage
"numpy.ndarray[slice[int, NoneType, numpy.int64]]",2,skimage
"numpy.flip(axis=int, m=numpy.ndarray)",2,dask.array
"numpy.ndarray.reshape(numpy.ndarray, tuple[numpy.int64, int])",2,skimage
"numpy.random.mtrand.RandomState.choice(numpy.random.mtrand.RandomState, list[builtins.bool], p=tuple[int, int], size=list[float])",2,skimage
numpy.random.choice,2,skimage
"numpy.cov(m=dask.array.core.Array, y=dask.array.core.Array)",2,dask.array
"numpy.random.mtrand.RandomState.seed(numpy.random.mtrand.RandomState, seed=int)",2,skimage
"numpy.ma.core.masked_values(atol=float, rtol=float, shrink=builtins.bool, value=int, x=numpy.ndarray)",2,dask.array
"numpy.random.mtrand.RandomState.normal(numpy.random.mtrand.RandomState, float, float, tuple[int, int])",2,skimage
"numpy.transpose(a=numpy.ndarray, axes=list[int])",2,matplotlib
numpy.int64 // int,2,dask.array
"numpy.apply_along_axis(arr=numpy.ndarray, axis=int, func1d=builtins.function, kwargs=dict)",2,skimage
"numpy.ndarray[slice[int, NoneType, int]]",2,skimage
int / numpy.float64,2,dask.array
numpy.dtype != Type[builtins.int],2,dask.array
"numpy.asarray(a=numpy.ndarray, dtype=Type[numpy.int32])",2,matplotlib
numpy.transpose(a=list[numpy.ndarray]),2,matplotlib
numpy.int64 - numpy.int64,2,dask.array
"numpy.bincount(numpy.ndarray, minlength=int)",2,matplotlib
numpy.ndarray != int,2,matplotlib
"numpy.empty(int, dtype=Type[numpy.float64])",2,matplotlib
numpy.zeros(numpy.int64),2,matplotlib
"numpy.ones(dtype=Type[numpy.uint64], shape=int)",2,pandas
"numpy.ndarray[tuple[numpy.ndarray, numpy.ndarray, numpy.ndarray]] = builtins.bool",2,skimage
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.uint32, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.array(list[list[str]], dtype=Type[builtins.object])",2,pandas
"numpy.array(list[Union[builtins.bool, pandas._libs.missing.NAType]], dtype=Type[builtins.object])",2,pandas
"numpy.random.mtrand.RandomState.random_sample(numpy.random.mtrand.RandomState, tuple[int, int])",2,pandas
"numpy.ndarray[sliinte[numpy.int64, numpy.int64, NoneType]] = int",2,pandas
numpy.ndarray[numpy.ndarray] = pandas._libs.tslibs.timestamps.Timestamp,2,pandas
"numpy.putmask(numpy.ndarray, numpy.ndarray, numpy.float64)",2,pandas
"numpy.ndarray[slinumpy.datetime64e[int, int, NoneType]] = numpy.datetime64",2,pandas
"numpy.putmask(numpy.ndarray, numpy.ndarray, numpy.datetime64)",2,pandas
"numpy.putmask(numpy.ndarray, numpy.ndarray, numpy.timedelta64)",2,pandas
"numpy.ndarray[slinumpy.ndarraye[int, int, NoneType]] = numpy.ndarray",2,pandas
"numpy.ndarray.shape = tuple[int, int]",2,skimage
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.int64, side=NoneType, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.int64, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.uint64, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, int, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.int8, side=numpy.ndarray, sorter=str)",2,pandas
numpy.iinfo(int_type=Type[numpy.int16]),2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.int16, side=NoneType, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.int16, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.int32, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.uint8, side=NoneType, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.uint8, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.uint16, side=numpy.ndarray, sorter=str)",2,pandas
"numpy.arange(int, int, int, dtype=Type[numpy.int32])",2,pandas
numpy.int32 > int,2,pandas
numpy.modf(pandas.core.arrays.sparse.array.SparseArray),2,pandas
pandas.core.arrays.sparse.array.SparseArray == numpy.ndarray,2,pandas
"numpy.full(dtype=numpy.dtype, fill_value=int, shape=tuple[int])",2,pandas
"numpy.ndarray[slice[numpy.int64, numpy.int64, int]]",2,pandas
numpy.int64 /= numpy.float64,2,skimage
"numpy.ndarray[slice[int, numpy.int64, int]]",2,pandas
"numpy.full(dtype=numpy.dtype, fill_value=numpy.float64, shape=tuple[int])",2,pandas
numpy.float64(x=numpy.ndarray),2,skimage
"numpy.testing._private.utils.assert_almost_equal(actual=numpy.ndarray, desired=list[float])",2,skimage
numpy.ndarray >= numpy.ndarray,2,pandas
pandas.core.arrays.sparse.array.SparseArray != numpy.ndarray,2,pandas
pandas.core.arrays.sparse.array.SparseArray > numpy.ndarray,2,pandas
pandas.core.arrays.sparse.array.SparseArray >= numpy.ndarray,2,pandas
numpy.ndarray[int] = NoneType,2,pandas
"numpy.ndarray[tuple[slice[NoneType, NoneType, NoneType], slice[int, int, int]]]",2,pandas
pandas.core.arrays.sparse.array.SparseArray | numpy.ndarray,2,pandas
numpy.exp(pandas.core.arrays.sparse.array.SparseArray),2,pandas
numpy.int64 += int,2,pandas
"numpy.array(int, dtype=numpy.dtype)",2,pandas
"numpy.ndarray[tuple[int, int, int]] = float",2,skimage
"numpy.ndarray[tuple[slice[int, NoneType, NoneType], slice[NoneType, NoneType, NoneType]]]",2,pandas
"numpy.array(list[tuple[numpy.float32, numpy.float32, numpy.float32, numpy.float32, numpy.float32, numpy.float32, numpy.float32, numpy.float32, numpy.float32]])",2,skimage
"numpy.pad(array=numpy.ndarray, mode=str, pad_width=tuple[tuple[int, int], tuple[int, int]])",2,skimage
numpy.mean(a=pandas.core.arrays.sparse.array.SparseArray),2,pandas
"numpy.ndarray.searchsorted(numpy.ndarray, numpy.uint32, side=NoneType, sorter=str)",2,pandas
numpy.ndim(a=str),2,pandas
"numpy.ndarray[slice[numpy.int32, numpy.int32, NoneType]]",2,pandas
numpy.transpose,2,pandas
"numpy.array(list[Union[float, numpy.timedelta64, pandas._libs.tslibs.nattype.NaTType]])",2,pandas
"numpy.array(list[Union[float, numpy.datetime64, numpy.timedelta64, pandas._libs.tslibs.nattype.NaTType]])",2,pandas
"numpy.array(list[Union[numpy.datetime64, numpy.timedelta64]], dtype=Type[builtins.object])",2,pandas
"numpy.array(list[NoneType], dtype=str)",2,pandas
"numpy.arange(int, int, dtype=Type[numpy.int64])",2,pandas
"numpy.ndarray.reshape(numpy.ndarray, tuple)",2,pandas
"numpy.arange(int, dtype=Type[numpy.float64])",2,pandas
pandas.core.dtypes.dtypes.PeriodDtype == Type[numpy.object_],2,pandas
numpy.array(list[list[builtins.bool]]),2,pandas
"numpy.asarray(a=list[pandas._libs.tslibs.nattype.NaTType], dtype=Type[builtins.object])",2,pandas
"numpy.array(list[Union[NoneType, float]], dtype=str)",2,pandas
"numpy.ndim(a=list[Union[float, int]])",2,pandas
numpy.ndim(a=numpy.uint64),2,pandas
"numpy.array(list[Union[datetime.time, pandas._libs.tslibs.nattype.NaTType]])",2,pandas
"numpy.asarray(a=list[Union[float, str]])",2,pandas
numpy.floor(numpy.ndarray),2,pandas
numpy.array(list[numpy.uint64]),2,pandas
numpy.intool_ == int,2,pandas
numpy.timedelta64(pandas._libs.tslibs.timedeltas.Timedelta),2,pandas
"numpy.putmask(numpy.ndarray, numpy.ndarray, pandas._libs.tslibs.timestamps.Timestamp)",2,pandas
